ID,NAME,X,Y,CITY
88,虎爪断桥,114.5305833,22.73621667,惠州市
89,南边灶桥,114.555667,22.74398056,惠州市
90,三棵树,114.582472,22.74489722,惠州市
91,滨海十路与石化大道中交汇处,114.611528,22.75583889,惠州市
92,横头街霞涌医院门口前,114.649167,22.77691111,惠州市
93,吉隆商贸城前,114.9267,22.796,惠州市
94,甘园,115.0758,23.0997,惠州市
95,西阳电站,116.1803066,24.2817717,梅州市
96,青溪,116.5964722,24.6456072,梅州市
97,大麻,116.5313498,24.3421804,梅州市
98,莱口水电站,115.423611,24.088333,梅州市
99,赤凤,116.52495,23.830214,梅州市
100,陆丰半湾水闸,115.6168107,22.9584996,汕尾市
101,海丰西闸,115.3292,22.9156,汕尾市
102,东溪水闸,115.5267,22.8715,汕尾市
103,乌坎,115.6922,22.9013,汕尾市
104,小漠桥,115.0493,22.7978,汕尾市
105,兴宁电站,115.559014,24.645147,河源市
106,庙咀里,115.178778,24.701333,河源市
107,龙川城铁路桥,115.251835,24.124539,河源市
108,河源临江,114.67372,23.649904,河源市
109,新丰江水库,114.636169,23.733067,河源市
110,榄溪渡口,114.636016,23.410496,河源市
111,俐江出口,115.173292,24.259084,河源市
112,枫树坝水库,115.373693,24.418225,河源市
113,江口,114.626315,23.414261,河源市
114,大泉,111.6660833,21.7647222,阳江市
115,那格,111.9695278,21.8158889,阳江市
116,埠场,111.9399167,21.7928889,阳江市
117,尖山,112.0213889,21.8352778,阳江市
118,中朗,111.7083659,22.1417269,阳江市
119,江城,111.950596,21.830505,阳江市
120,寿长,112.2018889,21.8311111,阳江市
121,滃江大坝,113.42575,24.129889,清远市
122,连江西牛,113.1088117,24.1870436,清远市
123,七星岗,113.0691071,23.6831942,清远市
124,北江石尾,113.39675,24.14408,清远市
125,飞来峡,113.2584167,23.8388863,清远市
126,石角,112.9032342,23.49310021,清远市
127,飞水桥,112.9989643,23.7047143,清远市
128,潖江口,113.2161217,23.733733,清远市
129,企坪,114.0590389,22.75662222,"东莞市,深圳市"
130,樟村（家乐福）,113.752464,23.058789,东莞市
131,沙田泗盛,113.599314,22.921578,东莞市
132,第六水厂,113.825348,23.09771762,东莞市
133,旗岭,114.0620576,22.948744,东莞市
134,共和村,113.778978,22.751828,"东莞市,深圳市"
135,石龙北河,113.8412378,23.11808778,"东莞市,惠州市"
136,东岸,114.1197659,23.05055531,"东莞市,惠州市"
137,中山港码头,113.4835901,22.5731132,中山市
138,全禄水厂,113.2456127,22.4703989,中山市
139,合水口,113.5129,22.479,中山市
140,泮沙桥,113.5418,22.473024,中山市
141,马大丰水厂,113.4368545,22.5971917,中山市
142,翠亨宾馆,113.525327,22.445531,中山市
143,布洲,113.2852498,22.3632149,"中山市,珠海市,江门市"
144,大衙,116.7051333,23.46212905,潮州市
145,凤江桥,116.9996402,23.66755815,潮州市
146,东湖,116.3547222,23.52777778,揭阳市
147,隆溪大道桥,116.1829229,22.9833824,揭阳市
148,深坑,116.5293845,23.60919895,揭阳市
149,引榕干渠,116.2139162,23.53529919,揭阳市
150,龙石,116.3847222,23.55027778,揭阳市
151,南江口,111.8224836,23.1240422,云浮市
152,下坪,112.2471938,22.7526087,云浮市
